fotmob_team_id,fotmob_team_name,fbref_team_code,fpl_team_code,fpl_team_name,fpl_short_team_name,npxg_f,npxg_a,sot_f,sot_a,xa_f,xa_a,tack_w_f,tack_w_a,tack_att_f,tack_att_a,acc_pass_f,acc_pass_a,yc_f,yc_a,s_rc_f,s_rc_a,og_f,og_a,s_dribb_f,s_dribb_a,s_cross_f,s_cross_a,offside_f,offside_a,int_f,int_a,block_f,block_a,recov_f,recov_a,clear_f,clear_a,foul_w_f,foul_w_a,foul_l_f,foul_l_a,eltg_f,eltg_a,pen_f,pen_a,elev_g_f,elev_g_a,g_f,g_a,bcc_f,bcc_a,gd
9825,Arsenal,18bb7c10,3,Arsenal,ARS,1.715,0.737,4.95,2.767,1.19,0.535,5.8,6.983,9.967,11.6,402.133,273.783,1.55,1.917,0.032,0.033,0.02,0.064,8.017,6.333,4.767,2.917,1.883,0.9,6.233,6.9,2.75,4.583,36.85,33.483,18.25,27.383,10.283,9.917,10.383,10.783,0.082,0.235,0.146,0.094,1.85,0.79,1.831,0.811,2.975,1.337,1.02
8456,Manchester City,b8fd03ef,43,Man City,MCI,1.854,1.08,5.5,3.45,1.34,0.744,4.983,6.633,8.283,11.583,504.933,291.75,1.417,2.05,0.023,0.035,0.036,0.068,10.15,5.8,4.317,3.45,1.167,2.383,6.85,8.667,2.367,4.383,37.517,35.533,17.25,22.433,10.217,7.9,8.267,10.483,0.135,0.254,0.152,0.102,2.0,1.14,1.974,1.16,3.351,1.859,0.814
8650,Liverpool,822bd0ba,14,Liverpool,LIV,1.726,1.095,5.433,3.667,1.259,0.691,6.517,6.683,10.683,10.967,441.417,275.617,1.717,1.967,0.031,0.033,0.036,0.057,8.083,7.467,4.583,2.85,1.833,2.1,7.4,8.75,2.717,4.95,38.967,38.633,20.183,27.383,9.583,10.167,10.667,10.083,0.133,0.246,0.163,0.099,1.82,1.2,1.854,1.173,3.147,1.728,0.681
8455,Chelsea,cff3d9bb,8,Chelsea,CHE,1.655,1.196,5.35,3.967,1.126,0.799,6.183,6.1,9.8,10.5,424.4,293.817,2.4,2.383,0.047,0.036,0.032,0.059,8.317,6.533,3.75,3.583,1.583,2.033,8.167,8.167,2.767,4.383,39.85,38.033,18.4,21.85,11.483,10.867,11.317,12.05,0.156,0.215,0.149,0.109,1.76,1.27,1.773,1.282,2.815,1.997,0.49
10261,Newcastle United,b2b47a98,4,Newcastle,NEW,1.492,1.184,4.633,4.167,1.054,0.806,6.183,7.2,10.05,12.25,366.15,325.65,1.6,2.3,0.029,0.045,0.045,0.051,7.3,7.7,4.817,3.85,1.667,1.167,7.233,8.8,3.45,3.917,41.467,41.6,22.417,23.617,11.25,9.517,10.167,11.733,0.145,0.213,0.134,0.112,1.59,1.29,1.598,1.272,2.634,2.016,0.325
10260,Manchester United,19538871,1,Man Utd,MUN,1.452,1.331,5.017,3.867,0.999,0.867,8.183,6.9,13.583,11.25,383.1,323.317,1.917,1.95,0.034,0.037,0.046,0.056,6.583,8.15,4.4,3.733,1.783,1.617,8.883,8.833,2.867,4.35,43.6,41.767,20.433,22.433,9.917,10.017,10.567,10.433,0.166,0.189,0.135,0.113,1.55,1.42,1.558,1.42,2.498,2.167,0.138
10204,Brighton and Hove Albion,d07537b9,36,Brighton,BHA,1.42,1.328,4.817,4.0,0.974,0.87,7.183,6.75,11.75,12.05,366.95,323.233,2.1,2.117,0.033,0.036,0.049,0.052,8.65,9.483,4.867,3.3,1.417,1.933,8.233,8.767,3.217,3.733,40.85,38.983,19.8,23.167,10.383,11.117,11.683,10.833,0.169,0.189,0.127,0.115,1.52,1.43,1.52,1.419,2.436,2.175,0.101
8678,Bournemouth,4ba7cbea,91,Bournemouth,BOU,1.443,1.372,5.133,4.617,0.956,0.935,6.65,6.55,11.5,10.783,301.883,313.567,2.433,2.167,0.048,0.04,0.037,0.046,7.75,8.367,4.55,3.983,1.967,1.1,9.25,7.183,3.633,4.05,45.017,41.85,26.4,26.6,10.117,12.767,13.317,10.567,0.146,0.224,0.135,0.119,1.53,1.49,1.549,1.466,2.389,2.338,0.083
10252,Aston Villa,8602292d,7,Aston Villa,AVL,1.37,1.292,4.417,4.2,0.928,0.889,6.15,6.417,10.55,11.383,346.317,328.267,1.65,2.567,0.03,0.042,0.038,0.05,7.9,6.367,3.183,3.983,1.3,2.6,6.183,9.2,3.317,3.6,35.917,39.467,19.117,21.4,13.083,10.1,10.417,13.8,0.182,0.18,0.121,0.117,1.47,1.38,1.466,1.384,2.319,2.223,0.081
9826,Crystal Palace,47c64c55,31,Crystal Palace,CRY,1.336,1.307,4.483,4.083,0.951,0.905,7.483,5.3,12.75,9.65,273.517,398.75,1.883,1.967,0.03,0.03,0.045,0.049,5.067,8.1,3.6,4.65,1.983,1.333,8.817,8.85,3.417,3.667,42.033,42.617,28.767,24.583,9.85,9.933,10.617,10.217,0.164,0.183,0.131,0.118,1.4,1.4,1.44,1.4,2.377,2.262,0.039
