fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
223094,MCI,Haaland,F,11.8,8.28,0.0,6.68,0.0,0.0,9.24,0.0,0.0,0.0,6.4,0.0,8.5,0.0,0.0,0.0,6.94,0.0,0.0,8.29,0.0,6.61,0.0,7.02,0.0,6.46,0.0,0.0,7.6,0.0,0.0,82.02,6.95
141746,MUN,B.Fernandes,M,11.5,0.0,5.62,0.0,0.0,6.68,0.0,0.0,5.78,0.0,0.0,5.44,0.0,5.09,0.0,5.55,0.0,0.0,6.16,0.0,0.0,5.5,0.0,6.59,0.0,4.82,0.0,0.0,0.0,3.87,0.0,61.1,5.31
97032,LIV,Virgil,D,10.0,0.0,5.99,0.0,7.43,0.0,5.62,0.0,0.0,4.98,0.0,0.0,4.62,0.0,0.0,0.0,6.44,0.0,0.0,6.22,0.0,4.9,0.0,0.0,3.18,7.0,0.0,0.0,4.22,0.0,0.0,60.6,6.06
171314,MCI,Rúben,D,10.0,6.27,0.0,4.93,0.0,0.0,6.75,0.0,0.0,0.0,4.72,0.0,5.81,0.0,0.0,0.0,5.09,0.0,0.0,6.2,0.0,4.01,0.0,4.5,0.0,3.96,0.0,0.0,5.56,0.0,0.0,57.8,5.78
231747,CRY,Mateta,F,10.9,0.0,5.27,0.0,5.67,0.0,0.0,4.66,0.0,0.0,4.49,0.0,5.48,0.0,0.0,0.0,0.0,6.12,0.0,5.47,0.0,4.82,0.0,5.3,0.0,5.67,0.0,0.0,0.0,4.53,0.0,57.48,5.27
219168,LIV,Isak,F,11.5,0.0,5.41,0.0,6.1,0.0,4.83,0.0,0.0,4.69,0.0,0.0,5.5,0.0,0.0,0.0,6.07,0.0,0.0,5.89,0.0,4.6,0.0,0.0,3.52,5.79,0.0,0.0,4.36,0.0,0.0,56.76,4.94
462424,ARS,Saliba,D,10.0,0.0,4.48,0.0,5.98,0.0,5.15,0.0,0.0,6.46,0.0,0.0,5.83,0.0,0.0,0.0,5.02,0.0,5.15,0.0,4.45,0.0,0.0,0.0,3.91,5.28,0.0,0.0,0.0,4.91,0.0,56.62,5.66
223340,ARS,Saka,M,11.5,0.0,5.1,0.0,6.13,0.0,5.07,0.0,0.0,5.73,0.0,0.0,4.75,0.0,0.0,0.0,5.16,0.0,5.18,0.0,4.67,0.0,0.0,0.0,4.7,4.78,0.0,0.0,0.0,5.17,0.0,56.45,4.91
244851,CHE,Palmer,M,11.5,0.0,2.2,0.0,4.34,0.0,4.73,0.0,0.0,5.95,0.0,0.0,5.38,0.0,0.0,0.0,5.97,0.0,6.07,0.0,0.0,4.83,0.0,5.27,0.0,6.21,0.0,0.0,0.0,5.17,0.0,56.12,4.88
154561,ARS,Raya,G,8.0,0.0,4.34,0.0,5.44,0.0,4.69,0.0,0.0,5.98,0.0,0.0,4.97,0.0,0.0,0.0,5.14,0.0,5.2,0.0,4.56,0.0,0.0,0.0,4.54,4.98,0.0,0.0,0.0,4.96,0.0,54.8,6.85
502500,BRE,Thiago,F,7.0,6.08,0.0,0.0,3.65,0.0,4.95,0.0,0.0,0.0,5.08,0.0,4.93,0.0,0.0,0.0,4.94,0.0,0.0,5.21,0.0,4.44,0.0,6.03,0.0,4.17,0.0,0.0,0.0,5.03,0.0,54.5,7.79
477424,MCI,Gvardiol,D,10.0,5.86,0.0,4.56,0.0,0.0,6.58,0.0,0.0,0.0,4.28,0.0,5.43,0.0,0.0,0.0,4.64,0.0,0.0,5.69,0.0,3.54,0.0,4.21,0.0,3.52,0.0,0.0,5.11,0.0,0.0,53.41,5.34
209244,MCI,Foden,M,11.5,5.31,0.0,4.36,0.0,0.0,5.92,0.0,0.0,0.0,4.2,0.0,5.12,0.0,0.0,0.0,4.37,0.0,0.0,5.14,0.0,4.09,0.0,4.56,0.0,4.24,0.0,0.0,4.99,0.0,0.0,52.29,4.55
204936,MCI,Donnarumma,G,8.0,5.39,0.0,4.36,0.0,0.0,5.67,0.0,0.0,0.0,3.96,0.0,5.14,0.0,0.0,0.0,4.5,0.0,0.0,5.03,0.0,4.24,0.0,4.61,0.0,3.72,0.0,0.0,5.48,0.0,0.0,52.1,6.51
437730,BOU,Semenyo,M,8.4,4.94,0.0,5.29,0.0,0.0,4.87,0.0,0.0,0.0,0.0,4.74,5.83,0.0,0.0,0.0,4.72,0.0,4.07,0.0,3.6,0.0,0.0,5.19,0.0,0.0,0.0,4.31,4.34,0.0,0.0,51.91,6.18
445122,ARS,J.Timber,D,8.0,0.0,4.05,0.0,5.26,0.0,4.62,0.0,0.0,5.8,0.0,0.0,4.96,0.0,0.0,0.0,4.67,0.0,4.79,0.0,4.13,0.0,0.0,0.0,4.02,4.86,0.0,0.0,0.0,4.67,0.0,51.83,6.48
247348,CRY,Muñoz,D,8.8,0.0,5.06,0.0,4.99,0.0,0.0,3.82,0.0,0.0,3.41,0.0,4.75,0.0,0.0,0.0,0.0,5.06,0.0,4.83,0.0,3.82,0.0,4.81,0.0,5.62,0.0,0.0,0.0,3.95,0.0,50.13,5.7
178186,WHU,Bowen,F,11.5,0.0,4.41,0.0,0.0,4.36,0.0,4.18,0.0,0.0,4.49,0.0,3.66,0.0,0.0,0.0,4.33,0.0,4.3,0.0,4.38,0.0,4.52,0.0,0.0,4.44,0.0,0.0,5.27,0.0,0.0,48.35,4.2
470313,NEW,Woltemade,F,8.3,4.23,0.0,4.9,0.0,0.0,5.4,0.0,0.0,0.0,4.53,0.0,3.97,0.0,0.0,4.07,0.0,0.0,4.71,0.0,0.0,3.98,0.0,4.24,0.0,0.0,3.85,0.0,0.0,3.61,0.0,47.49,5.72
513418,BRE,Schade,M,8.3,5.35,0.0,0.0,3.03,0.0,3.89,0.0,0.0,0.0,4.29,0.0,4.31,0.0,0.0,0.0,4.3,0.0,0.0,4.82,0.0,3.85,0.0,5.36,0.0,3.73,0.0,0.0,0.0,4.37,0.0,47.29,5.7
50175,BHA,Welbeck,F,8.0,0.0,4.64,0.0,4.41,0.0,0.0,4.93,0.0,3.74,0.0,0.0,5.3,0.0,0.0,0.0,3.05,0.0,4.23,0.0,4.91,0.0,0.0,3.37,0.0,0.0,0.0,4.16,3.76,0.0,0.0,46.49,5.81
83299,BHA,Dunk,D,7.4,0.0,5.16,0.0,4.48,0.0,0.0,5.1,0.0,2.37,0.0,0.0,6.1,0.0,0.0,0.0,2.29,0.0,4.33,0.0,5.87,0.0,0.0,2.41,0.0,0.0,0.0,3.97,4.06,0.0,0.0,46.14,6.23
116535,LIV,A.Becker,G,8.0,0.0,4.25,0.0,5.09,0.0,4.15,0.0,0.0,4.15,0.0,0.0,3.61,0.0,0.0,0.0,4.86,0.0,0.0,4.58,0.0,3.77,0.0,0.0,2.94,5.12,0.0,0.0,3.54,0.0,0.0,46.08,5.76
448047,CHE,Enzo,M,8.6,0.0,3.84,0.0,4.48,0.0,3.99,0.0,0.0,4.86,0.0,0.0,4.01,0.0,0.0,0.0,4.22,0.0,4.13,0.0,0.0,3.41,0.0,4.01,0.0,4.68,0.0,0.0,0.0,4.23,0.0,45.87,5.33
204716,LIV,Konaté,D,9.0,0.0,4.85,0.0,6.22,0.0,4.37,0.0,0.0,3.72,0.0,0.0,3.16,0.0,0.0,0.0,4.66,0.0,0.0,4.45,0.0,3.4,0.0,0.0,2.27,5.31,0.0,0.0,3.11,0.0,0.0,45.51,5.06
444102,BOU,Evanilson,F,8.1,5.2,0.0,4.39,0.0,0.0,4.07,0.0,0.0,0.0,0.0,3.99,5.02,0.0,0.0,0.0,4.05,0.0,3.57,0.0,3.12,0.0,0.0,4.39,0.0,0.0,0.0,3.67,3.67,0.0,0.0,45.13,5.57
111234,EVE,Pickford,G,7.8,4.07,0.0,3.57,0.0,0.0,4.59,0.0,0.0,3.13,0.0,0.0,3.58,0.0,0.0,0.0,4.53,0.0,3.92,0.0,0.0,4.29,0.0,4.92,0.0,0.0,3.45,0.0,0.0,0.0,4.75,44.79,5.74
178301,AVL,Watkins,F,11.5,0.0,4.62,0.0,4.11,0.0,3.36,0.0,0.0,0.0,4.48,0.0,0.0,4.59,0.0,0.0,3.76,0.0,3.17,0.0,4.54,0.0,0.0,3.92,0.0,0.0,4.29,0.0,0.0,3.91,0.0,44.73,3.89
247412,WOL,Strand Larsen,F,8.3,0.0,3.97,0.0,4.39,0.0,0.0,0.0,4.27,3.06,0.0,0.0,4.73,0.0,0.0,0.0,3.78,0.0,4.12,0.0,4.72,0.0,0.0,3.96,0.0,0.0,4.08,0.0,3.32,0.0,0.0,44.41,5.35
200720,BRE,Kelleher,G,6.8,5.17,0.0,0.0,2.85,0.0,3.47,0.0,0.0,0.0,4.63,0.0,4.12,0.0,0.0,0.0,4.12,0.0,0.0,4.14,0.0,3.61,0.0,4.66,0.0,3.01,0.0,0.0,0.0,4.45,0.0,44.24,6.51
208706,NEW,Bruno G.,M,9.6,4.41,0.0,4.38,0.0,0.0,4.76,0.0,0.0,0.0,4.74,0.0,3.33,0.0,0.0,3.34,0.0,0.0,3.99,0.0,0.0,3.49,0.0,4.21,0.0,0.0,3.85,0.0,0.0,3.64,0.0,44.13,4.6
98747,NEW,Pope,G,7.2,3.73,0.0,4.17,0.0,0.0,5.02,0.0,0.0,0.0,3.98,0.0,3.78,0.0,0.0,3.16,0.0,0.0,4.29,0.0,0.0,3.85,0.0,4.3,0.0,0.0,4.02,0.0,0.0,3.8,0.0,44.1,6.13
172649,CRY,Henderson,G,7.7,0.0,4.01,0.0,4.7,0.0,0.0,3.8,0.0,0.0,3.39,0.0,4.12,0.0,0.0,0.0,0.0,4.27,0.0,4.41,0.0,3.2,0.0,4.11,0.0,4.18,0.0,0.0,0.0,3.76,0.0,43.93,5.7
