Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
MCI,Haaland,F,13.0,7.46,6.03,8.24,5.81,7.63,6.25,7.43,6.01,6.44,5.91,6.98,74.19,1677501,13.0
MUN,B.Fernandes,M,8.4,4.93,6.06,5.31,5.25,4.88,5.26,5.93,5.17,5.86,4.68,3.73,57.06,160701,8.4
ARS,Saka,M,10.0,4.85,5.9,4.92,5.67,4.65,5.11,5.14,4.57,4.63,4.73,5.17,55.34,106430,10.0
CHE,Palmer,M,11.0,2.17,4.5,4.62,5.75,5.07,5.8,5.83,4.57,5.1,5.99,4.99,54.39,242906,11.0
MCI,Foden,M,9.0,5.36,4.38,5.68,4.19,5.22,4.39,5.03,4.21,4.7,4.33,5.13,52.63,55898,9.0
CRY,Mateta,F,7.0,4.8,5.18,4.22,4.06,4.96,5.46,4.96,4.26,4.83,5.14,4.12,52.0,201968,7.0
LIV,Isak,F,10.5,4.83,5.57,4.47,4.37,4.87,5.51,5.41,4.19,3.14,5.4,3.96,51.74,2200000,10.5
WHU,Bowen,M,8.0,4.56,4.54,4.35,4.77,3.79,4.64,4.58,4.63,4.81,4.56,5.59,50.83,161049,8.0
BOU,Semenyo,M,7.1,4.92,5.15,4.72,4.61,5.79,4.55,3.95,3.58,5.07,4.23,4.24,50.81,2930166,7.1
BRE,Thiago,F,5.5,5.64,3.35,4.48,4.82,4.56,4.54,4.81,4.11,5.57,3.78,4.66,50.33,3879507,5.5
ARS,Raya,G,6.0,4.02,4.71,4.18,4.98,4.29,4.52,4.52,4.12,4.18,4.33,4.42,48.28,192208,6.0
MCI,Donnarumma,G,6.0,4.67,3.99,4.64,3.73,4.51,4.05,4.23,4.02,4.24,3.65,4.7,46.42,4387247,6.0
ARS,J.Timber,D,6.1,3.56,4.66,4.03,5.11,4.13,4.23,4.34,3.74,3.66,4.21,4.26,45.95,3627958,6.1
LIV,M.Salah,M,13.5,6.97,8.35,6.45,6.51,0.0,0.0,0.0,3.27,2.08,6.66,5.62,45.9,45106,13.5
LIV,Szoboszlai,M,6.0,4.62,4.61,4.07,3.86,4.04,4.44,4.56,3.74,3.04,4.94,3.78,45.7,3590555,6.0
BRE,Schade,M,6.0,5.19,2.81,3.69,4.25,4.14,4.11,4.57,3.68,5.14,3.47,4.22,45.29,2833740,6.0
NEW,Woltemade,F,7.0,3.91,4.55,5.11,4.3,3.71,3.79,4.48,3.8,4.15,3.72,3.54,45.05,4386446,7.0
LIV,Gakpo,M,7.6,4.5,4.99,3.77,3.72,4.13,4.64,4.51,3.61,2.6,4.53,3.35,44.37,2818755,7.6
CHE,Enzo,M,7.1,3.71,4.27,3.93,4.3,3.79,4.22,4.19,3.38,3.93,4.49,3.82,44.04,2930183,7.1
CRY,Muñoz,D,5.5,4.31,4.47,3.45,2.93,4.08,4.36,4.36,3.18,4.18,4.68,3.44,43.44,3762190,5.5
AVL,Watkins,F,9.5,4.57,3.95,3.3,4.32,4.46,3.58,3.07,4.42,3.78,4.23,3.72,43.4,183114,9.5
LIV,A.Becker,G,6.0,4.02,4.47,3.94,3.99,3.6,4.38,4.23,3.65,3.06,4.48,3.55,43.36,90826,6.0
BHA,Welbeck,F,5.9,4.21,4.13,4.61,3.35,4.96,2.75,3.95,4.73,3.03,3.89,3.52,43.13,23331,5.9
ARS,Rice,M,6.5,3.77,4.33,3.79,4.3,3.71,3.89,3.89,3.63,3.67,3.72,3.98,42.69,32973,6.5
BRE,Kelleher,G,4.5,4.56,3.09,3.51,4.27,3.87,3.97,3.98,3.52,4.24,3.24,4.13,42.4,140028,4.5
NEW,Bruno G.,M,6.0,3.73,4.2,4.47,4.02,3.44,3.4,3.9,3.54,4.1,3.77,3.71,42.28,283020,6.0
MCI,Gvardiol,D,6.5,4.53,3.57,4.7,3.11,4.36,3.58,4.1,3.18,3.64,3.05,4.33,42.15,3634364,6.5
NFO,Gibbs-White,M,7.0,3.82,4.22,3.93,4.35,3.72,3.51,3.95,3.61,4.01,3.08,3.81,42.02,88531,7.0
TOT,Kudus,M,7.5,4.29,3.64,4.16,3.67,3.44,3.32,3.48,4.43,3.38,4.17,4.03,42.0,3649502,7.5
EVE,Pickford,G,5.6,3.85,3.52,4.15,3.25,3.49,4.03,3.68,3.99,4.34,3.38,4.27,41.94,23433,5.6
LIV,Virgil,D,6.0,3.84,4.77,3.74,3.56,3.45,4.61,4.43,3.4,2.28,4.82,3.03,41.92,23238,6.0
NEW,Gordon,M,7.4,2.72,3.91,4.84,4.19,3.46,3.46,4.24,3.66,4.07,3.64,3.58,41.76,242870,7.4
NEW,Pope,G,5.5,3.57,3.97,4.44,3.73,3.7,3.25,3.92,3.71,4.02,3.76,3.66,41.74,24087,5.5
CRY,Henderson,G,5.0,3.88,4.16,3.64,3.48,3.86,4.01,4.06,3.25,3.86,3.84,3.68,41.72,137863,5.0
BOU,Tavernier,M,5.5,4.46,4.04,3.6,3.62,4.67,3.69,3.27,2.98,4.08,3.46,3.38,41.25,1954998,5.5
FUL,Leno,G,4.5,3.59,3.51,3.9,4.06,4.12,3.7,3.35,3.51,3.7,3.78,3.9,41.13,88472,4.5
BOU,Evanilson,F,6.5,4.67,4.04,3.68,3.62,4.72,3.64,3.17,2.84,4.06,3.34,3.33,41.09,3925510,6.5
CHE,Sánchez,G,5.5,3.67,3.97,3.57,4.13,3.41,4.0,4.02,3.05,3.66,4.11,3.47,41.05,192988,5.5
BOU,Petrović,G,5.0,3.88,4.09,3.79,3.37,4.5,3.55,3.27,3.53,3.97,3.43,3.61,41.0,3648390,5.0
ARS,Eze,M,7.5,3.81,4.35,3.62,4.23,3.45,3.75,3.72,3.41,3.3,3.53,3.77,40.94,180321,7.5
ARS,Saliba,D,6.0,3.16,4.15,3.59,4.57,3.74,3.78,3.88,3.36,3.21,3.66,3.75,40.86,1677493,6.0
CHE,João Pedro,F,7.6,3.34,4.05,3.63,4.02,3.55,3.92,3.86,3.12,3.61,4.13,3.52,40.75,164449,7.6
ARS,Calafiori,D,5.7,3.33,4.42,3.64,4.54,3.7,3.7,3.7,3.23,3.14,3.53,3.68,40.61,3907046,5.7
WHU,L.Paquetá,M,5.5,3.64,3.56,3.4,3.74,3.07,3.78,3.71,3.76,3.8,3.57,4.46,40.49,2235927,5.5
ARS,Ødegaard,M,7.0,2.04,4.1,3.59,4.27,3.62,3.98,3.84,3.55,3.59,3.66,4.02,40.26,201990,7.0
BHA,Minteh,M,6.0,3.83,3.88,4.28,3.16,4.47,2.57,3.76,4.42,2.96,3.59,3.32,40.24,3879494,6.0
AVL,Martinez,G,5.0,4.45,3.49,3.51,3.74,3.85,3.27,3.03,4.13,3.41,4.06,3.3,40.23,131313,5.0
WOL,Strand Larsen,F,6.5,3.57,4.0,3.9,2.74,4.22,3.32,3.69,4.31,3.58,3.68,2.93,39.95,3893792,6.5
NFO,Sels,G,5.5,3.89,3.88,3.52,3.94,3.52,3.41,3.94,3.32,3.62,3.44,3.45,39.92,3763426,5.5
AVL,Rogers,M,7.5,4.46,3.67,3.12,3.96,3.97,3.25,2.75,3.9,3.46,3.83,3.45,39.82,3762913,7.5
MUN,Lammens,G,4.5,3.26,4.1,3.8,3.77,3.25,3.57,4.22,3.67,3.95,3.26,2.83,39.67,4386967,4.5
TOT,Vicario,G,5.0,3.94,3.09,3.86,3.53,3.4,3.22,3.31,4.11,3.25,4.02,3.9,39.63,3584409,5.0
MCI,Matheus N.,D,6.0,4.26,3.33,4.44,2.86,4.05,3.33,3.87,2.95,3.38,2.85,4.12,39.44,2139824,6.0
BHA,Verbruggen,G,4.5,3.56,3.74,4.04,2.88,4.18,2.83,3.55,4.35,2.78,3.78,3.42,39.1,3591888,4.5
MUN,Cunha,F,8.0,0.0,4.55,4.06,3.96,3.79,4.04,4.51,3.96,4.21,3.33,2.65,39.05,3627793,8.0
MCI,Rúben,D,6.0,4.2,3.28,4.32,2.85,4.01,3.31,3.86,3.0,3.33,2.81,4.03,39.01,186737,6.0
WHU,Areola,G,4.5,3.53,3.21,3.27,3.67,2.93,3.81,3.69,3.67,3.9,3.25,3.98,38.91,183126,4.5
LIV,Wirtz,M,9.0,1.99,3.13,3.5,3.74,3.95,4.55,4.47,3.43,2.48,4.42,3.21,38.86,4293356,9.0
NEW,Tonali,M,5.5,3.37,3.74,4.0,3.71,3.23,3.29,3.72,3.34,3.68,3.4,3.35,38.83,3591232,5.5
EVE,Dewsbury-Hall,M,5.0,3.58,3.37,3.72,3.14,3.03,3.9,3.43,3.69,3.85,3.27,3.8,38.77,242878,5.0
EVE,Grealish,M,6.0,3.7,3.4,3.7,2.97,2.79,3.75,3.33,3.58,3.92,3.28,3.89,38.31,131338,6.0
AVL,Tielemans,M,6.0,4.19,3.45,3.05,3.75,3.74,3.18,2.85,3.74,3.31,3.7,3.28,38.25,110910,6.0
SUN,Roefs,G,4.5,3.88,3.07,2.97,3.61,3.27,4.11,3.43,3.34,3.34,3.75,3.47,38.24,4338689,4.5
MCI,Bernardo,M,6.0,3.98,3.38,4.06,2.97,3.64,3.21,3.62,2.99,3.34,3.1,3.61,37.91,45081,6.0
LIV,Mac Allister,M,6.0,3.71,4.19,3.56,3.4,3.46,3.77,3.71,3.13,2.34,3.75,2.87,37.89,163914,6.0
FUL,Raúl,F,6.0,4.15,3.69,3.99,4.53,4.36,4.14,3.17,2.8,2.32,1.99,2.01,37.17,88528,6.0
ARS,Gyökeres,F,9.0,0.0,2.38,2.59,5.03,4.15,4.21,3.95,3.65,3.62,3.73,3.82,37.14,4329253,9.0
CHE,Neto,M,7.0,3.02,3.69,3.25,3.68,3.11,3.57,3.57,2.87,3.28,3.76,3.18,36.97,139207,7.0
LIV,Ekitiké,F,8.5,2.3,3.36,3.25,3.24,3.65,4.11,4.07,3.15,2.35,4.01,2.98,36.47,4322253,8.5
NEW,Livramento,D,5.0,3.17,3.47,4.46,3.64,2.71,2.53,3.68,2.91,3.52,3.14,2.97,36.21,237976,5.0
WOL,Johnstone,G,4.5,3.17,3.84,3.54,2.83,3.7,2.84,3.02,3.8,3.19,3.4,2.81,36.15,1758328,4.5
ARS,Zubimendi,M,5.0,3.21,3.56,3.27,3.56,3.2,3.28,3.26,3.08,3.11,3.17,3.38,36.09,4297973,5.0
CRY,Guéhi,D,5.0,3.31,4.19,3.04,2.41,3.49,3.58,3.61,2.54,3.4,3.79,2.73,36.08,231961,5.0
TOT,Xavi,M,6.5,3.78,3.15,3.83,3.3,3.06,2.7,2.86,3.75,2.71,3.47,3.4,36.01,4381238,6.5
BRE,Damsgaard,M,6.0,4.02,2.41,3.18,3.58,3.28,3.23,3.52,2.99,3.79,2.67,3.31,35.99,2064482,6.0
BRE,Van den Berg,D,4.5,4.62,1.79,2.79,3.87,3.45,3.17,3.38,2.97,4.2,2.03,3.54,35.8,3879483,4.5
NEW,Thiaw,D,5.0,3.09,3.35,4.24,3.52,2.58,2.46,3.71,2.92,3.6,3.22,3.02,35.7,4352112,5.0
CRY,Lacroix,D,4.5,3.29,4.09,3.04,2.43,3.45,3.54,3.56,2.51,3.35,3.68,2.73,35.66,3947465,4.5
