fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
223094,MCI,Haaland,F,14.9,7.27,5.65,7.93,5.59,7.5,5.95,7.16,6.08,6.55,5.92,6.97,72.57,4.87
141746,MUN,B.Fernandes,M,8.9,5.13,6.25,5.48,5.44,4.98,5.45,6.17,5.33,6.07,4.63,3.66,58.57,6.58
223340,ARS,Saka,M,10.1,4.89,6.03,4.97,5.75,4.62,5.18,5.19,4.55,4.65,4.68,5.23,55.74,5.52
244851,CHE,Palmer,M,10.3,2.14,4.48,4.51,5.65,4.86,5.77,5.71,4.32,4.94,5.94,4.9,53.23,5.17
231747,CRY,Mateta,F,8.1,4.92,5.18,4.11,4.04,5.0,5.53,5.0,4.14,4.92,5.12,4.2,52.14,6.44
209244,MCI,Foden,M,8.0,5.27,4.19,5.46,4.04,5.01,4.19,4.79,4.1,4.56,4.14,4.96,50.71,6.34
219168,LIV,Isak,F,10.4,4.58,5.27,4.26,4.25,4.69,5.39,5.36,3.98,3.0,5.11,3.74,49.63,4.77
437730,BOU,Semenyo,M,7.9,4.71,4.91,4.45,4.36,5.59,4.2,3.61,3.31,4.81,3.96,3.96,47.86,6.06
445122,ARS,J.Timber,D,6.3,3.76,4.81,4.21,5.25,4.31,4.37,4.47,3.87,3.81,4.34,4.36,47.57,7.55
502500,BRE,Thiago,F,6.5,5.41,3.0,4.13,4.69,4.33,4.36,4.64,3.77,5.4,3.46,4.37,47.55,7.32
247348,CRY,Muñoz,D,5.9,4.7,4.68,3.62,3.15,4.36,4.61,4.59,3.43,4.45,4.9,3.68,46.18,7.83
97032,LIV,Virgil,D,6.0,4.23,5.04,4.18,3.96,3.83,4.88,4.81,3.81,2.97,5.01,3.46,46.17,7.69
513418,BRE,Schade,M,7.0,5.33,2.8,3.69,4.35,4.2,4.16,4.61,3.65,5.22,3.41,4.25,45.66,6.52
17761,EVE,Tarkowski,D,5.4,4.16,3.76,4.55,3.13,3.55,4.74,3.77,4.19,4.84,3.63,4.84,45.16,8.36
208706,NEW,Bruno G.,M,6.6,4.07,4.63,4.76,4.28,3.59,3.6,4.06,3.76,4.38,4.03,3.92,45.07,6.83
437499,CRY,Lacroix,D,5.0,4.22,4.93,3.97,3.29,4.33,4.37,4.41,3.29,4.11,4.33,3.48,44.73,8.95
462424,ARS,Saliba,D,6.0,3.58,4.54,3.95,4.84,4.11,4.08,4.16,3.7,3.57,3.93,3.98,44.43,7.41
