fotmob_id,tm_id,last_scraped
72241,74960,2026-08-18
113836,67063,2026-08-18
156008,61651,2026-08-18
160447,61841,2026-08-18
163604,99397,2026-08-18
167008,82873,2026-08-18
169719,108725,2026-08-18
181069,127202,2026-08-18
182962,123275,2026-08-18
188058,167554,2026-08-18
189982,135343,2026-08-18
195782,124884,2026-08-18
201690,148153,2026-08-18
202643,146310,2026-08-18
207236,111455,2026-08-18
209405,139208,2026-08-18
215168,72476,2026-08-18
215384,131978,2026-08-18
239219,51471,2026-08-18
243138,173504,2026-08-18
255610,177907,2026-08-18
258269,184573,2026-08-18
266520,148367,2026-08-18
268375,111873,2026-08-18
276121,192765,2026-08-18
280484,192080,2026-08-18
290410,118534,2026-08-18
295067,207014,2026-08-18
303919,130164,2026-08-18
312765,203460,2026-08-18
317564,192279,2026-08-18
319784,105470,2026-08-18
356406,193116,2026-08-18
357880,234803,2026-08-18
362694,183288,2026-08-18
419664,253677,2026-08-18
422685,240306,2026-08-18
439369,188077,2026-08-18
448897,296802,2026-08-18
465750,262226,2026-08-18
465960,249565,2026-08-18
466672,262980,2026-08-18
469804,206746,2026-08-18
480253,282939,2026-08-18
493165,294057,2026-08-18
494417,279455,2026-08-18
502420,226973,2026-08-18
503659,260827,2026-08-18
521148,199527,2026-08-18
534670,316264,2026-08-18
535936,333241,2026-08-18
538501,286047,2026-08-18
540088,324358,2026-08-18
540963,333014,2026-08-18
552718,328658,2026-08-18
556972,245056,2026-08-18
562724,249089,2026-08-18
562727,262749,2026-08-18
562892,701057,2026-08-18
568571,256178,2026-08-18
574645,338424,2026-08-18
576165,363205,2026-08-18
582276,226049,2026-08-18
591734,258889,2026-08-18
600524,240692,2026-08-18
602304,348026,2026-08-18
604785,242631,2026-08-18
610184,321247,2026-08-18
612150,306024,2026-08-18
613715,318508,2026-08-18
614006,258004,2026-08-18
618878,315858,2026-08-18
620618,354362,2026-08-18
621515,356141,2026-08-18
622091,293194,2026-08-18
637656,352041,2026-08-18
643717,295313,2026-08-18
650616,319859,2026-08-18
654096,357662,2026-08-18
654908,378710,2026-08-18
662428,349701,2026-08-18
664500,325443,2026-08-18
666857,388165,2026-08-18
671331,387626,2026-08-18
674014,277033,2026-08-18
675088,357565,2026-08-18
682548,236490,2026-08-18
683402,258878,2026-08-18
688273,270171,2026-08-18
690107,349066,2026-08-18
696443,272622,2026-08-18
706297,420002,2026-08-18
710158,413220,2026-08-18
710159,413403,2026-08-18
711357,442248,2026-08-18
717174,297212,2026-08-18
717176,319301,2026-08-18
719330,258919,2026-08-18
729731,425334,2026-08-18
729769,332705,2026-08-18
737066,418560,2026-08-18
744494,362108,2026-08-18
748382,340325,2026-08-18
