fpl_code,team,player,pos,cost,2026-08-21T20:00:00Z,2026-08-22T12:30:00Z,2026-08-22T15:00:00Z,2026-08-22T17:30:00Z,2026-08-23T14:00:00Z,2026-08-23T16:30:00Z,2026-08-24T20:00:00Z,2026-08-25T19:45:00Z,2026-08-25T20:00:00Z,2026-08-26T19:45:00Z,2026-08-26T20:00:00Z,2026-08-27T19:30:00Z,2026-08-27T20:00:00Z,2026-08-28T20:00:00Z,2026-08-29T12:30:00Z,2026-08-29T15:00:00Z,2026-08-29T17:30:00Z,2026-08-30T14:00:00Z,2026-08-30T16:30:00Z,2026-08-31T20:00:00Z,2026-09-04T20:00:00Z,2026-09-05T12:30:00Z,2026-09-05T15:00:00Z,2026-09-05T17:30:00Z,2026-09-06T14:00:00Z,2026-09-06T16:30:00Z,2026-09-12T15:00:00Z,2026-09-12T17:30:00Z,2026-09-12T20:00:00Z,2026-09-13T14:00:00Z,2026-09-13T16:30:00Z,2026-09-14T20:00:00Z,2026-09-18T20:00:00Z,2026-09-19T12:30:00Z,2026-09-19T15:00:00Z,2026-09-19T17:30:00Z,2026-09-20T14:00:00Z,2026-09-20T16:30:00Z,2026-10-10T15:00:00Z,2026-10-17T15:00:00Z,2026-10-24T15:00:00Z,2026-10-31T15:00:00Z,2026-11-07T15:00:00Z,total_pts,ppm
223094,MCI,Haaland,F,8.3,0.0,0.0,0.0,0.0,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,0.0,0.0,0.0,7.73,0.0,0.0,0.0,7.22,10.26,6.59,7.56,6.93,79.41,9.57
502500,BRE,Thiago,F,4.6,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,5.74,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,4.89,5.93,6.42,5.93,5.02,61.53,13.38
440993,EVE,Ndiaye,M,3.3,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,5.59,4.82,3.53,4.68,6.4,54.47,16.51
222531,NFO,Gibbs-White,M,4.1,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,0.0,0.0,4.38,3.54,5.24,4.52,3.72,53.64,13.08
154561,ARS,Raya,G,4.6,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,4.87,4.38,4.81,3.89,5.06,46.82,10.18
223340,ARS,Saka,M,6.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,5.33,4.33,4.38,4.12,5.67,45.12,7.52
226597,ARS,Gabriel,D,4.9,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,4.6,4.08,4.56,3.54,4.95,44.31,9.04
141746,MUN,B.Fernandes,M,6.5,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.87,4.64,4.41,4.54,3.85,4.12,43.97,6.76
489639,BHA,Verbruggen,G,3.4,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,4.11,0.0,0.0,0.0,4.32,5.17,3.71,3.58,4.65,43.59,12.82
244851,CHE,Palmer,M,6.2,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,5.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,4.24,3.41,3.96,3.81,3.32,43.04,6.94
243298,LIV,Gakpo,F,5.4,0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,3.75,4.19,4.17,3.16,3.95,42.59,7.89
204936,MCI,Donnarumma,G,4.5,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.64,0.0,0.0,0.0,3.49,4.9,3.63,4.37,3.91,42.12,9.36
116535,LIV,A.Becker,G,4.4,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,3.8,3.78,4.35,3.71,4.33,40.82,9.28
486672,CHE,Caicedo,M,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,4.57,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,3.75,3.43,3.97,3.53,3.49,40.36,10.09
85633,NFO,Sels,G,3.4,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,4.17,3.49,4.06,3.61,3.52,40.36,11.87
498016,SUN,Roefs,G,3.1,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,4.34,3.73,4.38,4.24,4.2,40.33,13.01
111234,EVE,Pickford,G,3.8,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,3.99,3.82,2.72,3.41,4.4,39.83,10.48
