fpl_code,team,player,pos,cost,1,2,3,4,5,6,7,8,9,10,total_pts,ppm
223094,MCI,Haaland,F,8.5,12.74,10.56,14.89,10.07,11.76,10.35,14.53,9.81,10.9,10.42,116.03,13.65
440993,EVE,Ndiaye,M,3.5,14.58,8.78,8.63,8.08,10.19,9.12,7.78,5.83,7.86,10.11,90.96,25.99
502500,BRE,Thiago,F,4.5,13.49,8.26,8.46,7.98,7.83,6.79,7.83,8.76,8.03,6.82,84.24,18.72
223340,ARS,Saka,M,5.5,6.46,6.53,7.36,7.67,7.06,8.17,7.37,7.18,6.49,8.91,73.2,13.31
222531,NFO,Gibbs-White,M,4.0,14.75,6.34,7.25,5.83,8.19,5.87,4.52,6.99,6.13,4.81,70.67,17.67
141746,MUN,B.Fernandes,M,7.0,7.83,8.05,6.21,5.17,5.78,6.65,6.17,6.62,5.53,5.87,63.89,9.13
244851,CHE,Palmer,M,5.0,12.1,6.23,4.17,7.12,5.98,6.21,5.07,5.78,5.45,5.15,63.27,12.65
243298,LIV,Gakpo,M,4.5,6.84,6.98,7.67,6.55,6.22,5.35,6.26,5.95,4.39,5.73,61.95,13.77
232185,CRY,Sarr,M,4.5,6.41,5.26,5.97,7.69,5.97,6.3,5.72,6.21,5.97,6.12,61.62,13.69
449434,NEW,Elanga,M,3.0,11.38,5.94,6.0,5.08,6.39,5.7,5.33,4.64,5.15,4.7,60.32,20.11
441164,TOT,Pedro Porro,D,4.0,9.41,6.06,5.3,6.22,5.44,4.2,7.25,4.54,5.99,5.1,59.5,14.87
487838,NEW,Hall,D,3.5,10.28,5.22,5.29,4.82,6.52,5.88,4.75,5.04,5.34,4.75,57.89,16.54
486672,CHE,Caicedo,M,3.5,10.94,5.35,3.9,6.54,5.01,5.28,4.92,5.43,4.79,5.0,57.16,16.33
226597,ARS,Gabriel,D,5.5,7.25,5.33,5.59,6.01,5.18,5.76,5.16,5.69,4.45,6.11,56.53,10.28
430871,MUN,Cunha,M,4.5,6.64,7.33,5.16,4.52,4.97,6.05,5.24,5.55,5.13,5.4,55.98,12.44
122806,AVL,McGinn,M,4.0,6.19,4.83,6.51,5.94,5.74,5.9,5.43,4.39,5.54,5.21,55.69,13.92
215136,NFO,N.Williams,D,4.0,11.55,4.32,6.06,4.39,6.5,4.99,3.54,5.76,4.34,3.65,55.12,13.78
475168,CHE,João Pedro,F,5.0,8.83,5.21,3.53,6.39,4.75,5.39,4.68,5.42,4.77,4.77,53.72,10.74
460028,CHE,Colwill,D,3.5,11.53,5.49,3.23,5.65,4.32,4.51,4.42,4.63,3.85,4.58,52.22,14.92
177815,LEE,Calvert-Lewin,F,3.5,9.44,5.89,4.59,5.15,5.15,3.47,4.66,4.36,4.71,4.65,52.06,14.88
441264,SUN,Brobbey,F,3.0,6.51,5.66,5.2,3.77,4.13,4.91,5.06,5.45,5.74,5.43,51.84,17.28
247348,CRY,Muñoz,D,5.0,5.48,4.21,5.04,6.88,5.19,5.25,4.41,5.44,5.16,4.75,51.8,10.36
215413,EVE,Dewsbury-Hall,M,3.5,8.9,4.71,4.64,4.72,5.53,5.04,4.51,3.27,4.29,5.36,50.97,14.56
231416,BHA,F.Kadıoğlu,D,3.5,5.7,4.92,5.8,6.14,3.76,5.53,5.88,3.99,3.26,5.16,50.15,14.33
493250,MUN,Amad,M,3.5,6.97,6.27,4.4,3.65,4.27,5.36,4.46,5.19,4.53,4.7,49.79,14.23
494595,LIV,Wirtz,M,5.0,5.63,5.83,5.97,5.07,5.09,4.09,4.8,4.96,3.61,4.72,49.75,9.95
201658,BOU,Tavernier,M,3.0,4.47,5.61,5.02,5.52,4.93,4.55,5.27,4.44,4.77,4.53,49.11,16.37
216646,NEW,Wissa,F,3.0,9.03,4.02,4.95,4.42,5.67,4.82,3.58,4.31,4.15,3.75,48.69,16.23
97032,LIV,Virgil,D,5.0,4.86,5.66,6.07,5.63,4.52,3.65,4.6,5.03,3.46,5.17,48.64,9.73
448047,CHE,Enzo,M,5.0,5.41,5.05,3.43,6.18,4.8,4.99,4.45,4.88,4.38,4.44,48.01,9.6
154561,ARS,Raya,G,5.0,5.57,4.46,4.91,4.86,4.55,4.95,4.49,4.92,3.99,5.16,47.86,9.57
424876,LIV,Szoboszlai,M,6.0,4.91,5.34,5.54,4.82,4.77,3.88,4.72,4.66,3.51,4.61,46.75,7.79
219847,ARS,Havertz,F,4.5,6.67,4.63,4.89,4.67,3.88,4.55,4.02,4.2,3.93,5.23,46.68,10.37
472769,MCI,O'Reilly,D,5.0,4.61,4.89,6.06,3.75,5.15,3.73,5.67,3.88,4.49,4.14,46.37,9.27
219168,LIV,Isak,F,6.0,4.71,4.89,5.23,4.81,4.77,4.06,4.77,4.63,3.53,4.6,46.02,7.67
480455,EVE,Branthwaite,D,3.0,9.32,3.56,3.63,4.13,5.32,4.67,3.84,2.5,3.6,5.08,45.65,15.22
166989,MUN,Tielemans,M,4.5,3.85,6.0,4.57,4.07,4.33,4.87,4.69,4.78,4.23,4.24,45.62,10.14
441302,AVL,Maatsen,D,3.5,4.7,3.57,5.82,5.18,4.78,4.92,4.34,3.57,5.06,3.53,45.47,12.99
446008,MUN,Mbeumo,M,4.5,5.7,5.63,4.33,3.79,4.11,4.66,4.21,4.46,4.05,4.26,45.21,10.05
477424,MCI,Gvardiol,D,5.0,5.01,4.73,5.49,3.72,5.02,3.67,5.25,3.9,4.22,4.06,45.07,9.01
484420,SUN,E.Le Fée,M,3.0,5.42,4.59,4.86,3.72,3.59,4.62,4.54,4.81,4.87,4.03,45.06,15.02
489639,BHA,Verbruggen,G,4.0,4.54,4.27,4.9,4.75,4.2,4.45,5.28,3.84,3.69,4.73,44.65,11.16
204480,ARS,Rice,M,5.0,2.64,4.13,4.78,5.34,4.39,4.76,4.45,4.48,4.03,5.15,44.14,8.83
466525,LEE,Stach,M,3.0,6.71,4.59,4.02,4.39,4.27,3.07,4.14,4.24,3.95,4.5,43.88,14.63
